transactionDate,company,ticker,transactionType,price,quantity,note
2024-01-22,Поступление средств,DEPOSIT,DEPOSIT,1,1000000.0,
2024-01-22,Магнит,MGNT,BUY,6919.0,10.0,
2024-01-22,Тинькофф др,TCSG,BUY,3095.5,10.0,
2024-01-22,Сбербанк Росс...,SBER,BUY,275.41,100.0,
2024-01-22,Газпром,GAZP,BUY,165.61,100.0,
2024-01-22,Озон,OZON,BUY,2861.0,10.0,
2024-01-22,Банк ВТБ,VTBR,BUY,123.575,40,
2025-01-22,ЛУКОЙЛ,LKOH,BUY,6844,10.0,
2025-01-22,Ros Agro др,AGRO,BUY,1423.8,3.0,
2024-01-22,Самолет ГК,SMLT,BUY,3833.0,10.0,
2025-01-22,ПИК СЗ,PIKK,BUY,713.9,100.0,
2025-01-22,X5 Retail Group,FIVE,BUY,2279.5,10.0,
2025-01-22,Роснефть НК,ROSN,BUY,579.35,100.0,
2024-01-22,Татнефть,TATN,BUY,696.2,50.0,
2024-01-22,Полюс,PLZL,BUY,11022.0,3.0,
2024-01-23,ВК МКПАО,VKCO,BUY,656.0,100.0,
2024-01-23,Газпром,GAZP,BUY,168.56,500.0,
2025-01-26,ВК МКПАО,VKCO,SELL,680,50.0,
2024-01-26,Газпром,GAZP,SELL,165.0,600.0,
2024-01-26,Яндекс,YNDX,BUY,2894.2,20.0,
2024-01-30,Группа Позитив,POSI,BUY,2210.8,10.0,
2024-01-31,Самолет ГК,SMLT,BUY,3840.0,15.0,
2024-01-31,Полюс,PLZL,BUY,11388.0,3.0,
2024-02-02,ЛУКОЙЛ,LKOH,BUY,7096.0,10.0,
2024-02-06,ПИК СЗ,PIKK,SELL,770.3,50.0,
2025-02-06,Яндекс,YNDX,SELL,3061.6,20.0,
2024-02-06,ПИК СЗ,PIKK,SELL,770.3,50.0,
2025-02-06,КАМАЗ,KMAZ,BUY,197.2,250.0,
2024-02-06,Мвидео,MVID,BUY,202.5,100.0,
2024-02-06,Самолет ГК,SMLT,BUY,3740.0,10.0,
